horizon,model,phase_offset,n,mae_skill_zero,brier_skill_frequency,direction_accuracy
30,baseline,25,2,0.0,0.0,0.0
30,baseline,26,1,0.0,0.0,0.0
30,baseline,28,1,0.0,0.0,0.0
30,internal,0,1,-0.01087468474225288,-0.034212625078773984,0.0
30,internal,1,3,-0.00922812457630447,-0.02987886931067285,0.3333333333333333
30,internal,2,4,-0.0018848912027346204,0.024505094125349958,0.25
30,internal,3,1,0.01606952176696811,0.07951724193914184,1.0
30,internal,5,1,0.003555216657154095,0.2557056953760269,1.0
30,internal,7,1,-0.004341930513438466,0.1786170493971772,1.0
30,internal,8,1,-0.010991821797556055,-0.3222395665892652,0.0
30,internal,9,3,-0.023239793800785523,-0.29618377926572514,0.3333333333333333
30,internal,10,2,0.009355927742166939,0.07780599565764423,0.5
30,internal,12,2,0.012520749619548063,0.1835859249156913,0.5
