rule,horizon,eligible_n,called_n,coverage,up_calls,down_calls,flat_outcomes,raw_hit_rate_including_flat,mean_signed_log_return,median_signed_change_inr,holding_hurdle_inr,economic_hit_rate,mean_signed_net_value_inr,median_signed_net_value_inr,bootstrap_mean_signed_ci_low,bootstrap_mean_signed_ci_high,raw_one_sided_p,phase_cohort_count,nonoverlap_n_min,nonoverlap_n_median,nonoverlap_n_max,phase_mean_signed_min,phase_mean_signed_median,phase_hit_min,phase_hit_median,standardized_edge,max_shift_adjusted_p,passes_prespecified_rule_gate
rule_local_momentum,60,503,343,0.6819085487077535,168,175,14,0.5568513119533528,0.009658790889048476,400.0,1800,0.5451895043731778,390.3790087463557,600.0,-0.003969000065180635,0.02433433899797183,0.08745627186406797,10,11,11.0,11,0.013010951002747483,0.013818395276046284,0.45454545454545453,0.45454545454545453,0.5992944582181396,0.8887408394403731,False
rule_local_momentum,90,468,325,0.6944444444444444,172,153,6,0.5323076923076923,0.0033145829491736355,200.0,2700,0.5784615384615385,-22.76923076923077,800.0,-0.017773545415287657,0.026365252440983686,0.4017991004497751,3,8,8.0,8,0.009936190444750598,0.010577217490615534,0.375,0.375,0.14954522791935315,0.9700199866755497,False
rule_value_momentum,5,590,134,0.2271186440677966,69,65,26,0.41044776119402987,0.0013921371269080107,0.0,150,0.4552238805970149,47.014925373134325,-50.0,-0.003111790136672355,0.005627268803621497,0.2593703148425787,3,40,41.0,41,0.0011374105444833778,0.0011997100519247617,0.4146341463414634,0.4146341463414634,0.6068900113637463,0.8887408394403731,False
rule_value_momentum,10,586,133,0.22696245733788395,69,64,14,0.47368421052631576,0.003385686536613517,0.0,300,0.43609022556390975,113.53383458646617,-100.0,-0.003530313775527691,0.01111525005754643,0.17541229385307347,6,27,27.0,27,0.002495356460466557,0.002877063213691562,0.4444444444444444,0.4444444444444444,0.8446346792102052,0.8227848101265823,False
rule_value_momentum,15,576,130,0.22569444444444445,67,63,12,0.5615384615384615,0.006315741509165081,100.0,450,0.5769230769230769,220.76923076923077,50.0,-0.0036842535791500423,0.015611780734594932,0.11394302848575712,4,22,22.0,22,0.004374110002075659,0.004374110002075659,0.5,0.5,1.158950277702936,0.670219853431046,False
rule_value_momentum,30,550,124,0.22545454545454546,63,61,13,0.6129032258064516,0.018690618483143535,1000.0,900,0.5887096774193549,684.6774193548387,550.0,0.007270011041564131,0.03274568120368933,0.0004997501249375312,12,13,13.0,13,0.007661609112293346,0.008641534172095634,0.5384615384615384,0.5384615384615384,1.7861132033384843,0.21052631578947367,False
rule_value_momentum,45,526,112,0.21292775665399238,63,49,2,0.625,0.024045915161997593,1400.0,1350,0.5535714285714286,713.3928571428571,350.0,0.006364797033473046,0.0402215831164346,0.0029985007496251873,12,9,9.0,9,0.008873981477918257,0.009452686489822507,0.5555555555555556,0.5555555555555556,1.5360030174636312,0.391072618254497,False
rule_value_momentum,60,503,115,0.2286282306163022,61,54,2,0.6695652173913044,0.03131726755529273,1200.0,1800,0.6086956521739131,1051.304347826087,500.0,0.007589356025753845,0.055111762056253524,0.0004997501249375312,12,7,7.0,7,0.061884000861640205,0.06189732149597847,0.8571428571428571,0.8571428571428571,1.550079733167083,0.3804130579613591,False
rule_value_momentum,90,468,110,0.23504273504273504,63,47,2,0.7818181818181819,0.046713210757298625,2250.0,2700,0.7090909090909091,1363.6363636363637,1700.0,0.027774264484804922,0.06571533950474823,0.0004997501249375312,22,5,5.0,5,-0.003054242940679114,0.0027140291922375494,0.4,0.4,1.6661856682971679,0.28980679546968685,False
rule_turkey_momentum,5,590,570,0.9661016949152542,323,247,120,0.443859649122807,0.0016504728230464008,0.0,150,0.5631578947368421,40.526315789473685,150.0,-0.0003609796308092177,0.003701950073142002,0.05697151424287856,4,138,138.5,139,0.0015329761987777852,0.0017387612730485988,0.43884892086330934,0.4492753623188406,1.3224196982472793,0.5556295802798135,False
rule_turkey_momentum,10,586,566,0.9658703071672355,324,242,73,0.48056537102473496,0.002251636744243648,0.0,300,0.5159010600706714,36.57243816254417,100.0,-0.0014620187950992508,0.005823357750100409,0.11644177911044477,2,73,73.0,73,-0.0008893326516542639,-0.0008728481308969699,0.4383561643835616,0.4383561643835616,0.9236342682278493,0.770819453697535,False
rule_turkey_momentum,15,576,556,0.9652777777777778,322,234,69,0.4712230215827338,0.0018109393747724064,0.0,450,0.5161870503597122,-11.510791366906474,50.0,-0.003418159846600936,0.007250709035957915,0.2613693153423288,4,48,48.5,49,0.0007306219710737741,0.0012498095348961518,0.4489795918367347,0.4640731292517007,0.4934053991155396,0.90473017988008,False
rule_turkey_momentum,30,550,532,0.9672727272727273,316,216,53,0.4830827067669173,0.004344309522396072,0.0,900,0.47368421052631576,-24.81203007518797,-100.0,-0.005262672230201207,0.014870658088358957,0.19290354822588707,17,24,24.0,25,0.004593767502707775,0.007268913202541513,0.44,0.5,0.564079105682503,0.893404397068621,False
rule_turkey_momentum,45,526,508,0.9657794676806084,304,204,32,0.5570866141732284,0.008260683419976184,300.0,1350,0.47244094488188976,22.244094488188978,-250.0,-0.007684201071655453,0.022174518865352523,0.1424287856071964,27,15,15.0,16,-0.002266697974210619,0.0015446156839903301,0.5333333333333333,0.5333333333333333,0.6812258380714253,0.8814123917388408,False
rule_turkey_momentum,60,503,485,0.9642147117296223,285,200,25,0.6082474226804123,0.013936759229731375,600.0,1800,0.5051546391752577,185.36082474226805,100.0,-0.0064619043498710315,0.031480500615569236,0.08845577211394302,25,12,12.0,12,-0.001787751079182036,0.0020949469882941382,0.4166666666666667,0.4166666666666667,0.9031784686331047,0.7834776815456362,False
rule_turkey_momentum,90,468,450,0.9615384615384616,263,187,11,0.5888888888888889,0.01294792179322857,750.0,2700,0.5244444444444445,7.111111111111111,300.0,-0.014028119423157702,0.04287179002948363,0.18290854572713644,2,9,9.0,9,-0.03265006637554691,-0.03251635859607108,0.2222222222222222,0.2222222222222222,0.6196122506642816,0.8887408394403731,False
