factor,cadence,horizon,native_matched_n,independent_n,spearman,pearson,circular_shift_p,first_half_spearman,second_half_spearman,stable_sign,first_date,last_date,holm_adjusted_p,screen_pass
china_hrc_mom4,weekly,10,71,36,-0.1574626150786793,-0.11745057230510156,0.46326836581709147,-0.35527313972110464,0.013415892672858616,False,2023-12-23,2025-10-24,1.0,False
china_hrc_mom12,weekly,10,71,36,-0.15201497930165747,-0.26409897431036194,0.39280359820089955,-0.15765920486103732,-0.09803921568627451,True,2023-12-23,2025-10-24,1.0,False
turkey_rebar_fixed_mom5,daily,10,245,35,0.138727039216936,0.11959322054665489,0.20339830084957522,-0.026345453932541722,0.10196154500320459,False,2025-07-10,2026-07-28,1.0,False
turkey_rebar_scrap_spread_mom5,daily,10,245,35,0.04649859943977591,0.10765459799978978,0.8030984507746127,-0.04656862745098039,0.13519091847265222,False,2025-07-10,2026-07-28,1.0,False
turkey_rebar_fixed_mom20,daily,10,231,33,-0.06751026966742327,-0.050681985722281823,0.6846576711644178,-0.26908432530567955,-0.07357450800431158,True,2025-07-31,2026-07-28,1.0,False
turkey_rebar_scrap_spread_mom20,daily,10,231,33,-0.17947860962566847,-0.09644618943481566,0.3023488255872064,-0.10588235294117648,-0.16176470588235298,True,2025-07-31,2026-07-28,1.0,False
china_hrc_monthly_mom1,monthly,5,28,28,0.04884760434915008,0.04622903967526386,0.8135932033983009,-0.3177973955064613,0.3362637362637363,False,2023-12-23,2026-08-01,1.0,False
china_hrc_monthly_mom3,monthly,5,28,28,-0.1663013945819379,-0.19717277030351318,0.4682658670664668,-0.24445953500497025,-0.2087912087912088,True,2023-12-23,2026-08-01,1.0,False
china_hrc_monthly_mom1,monthly,10,28,27,-0.11904761904761904,-0.15859872751471532,0.5152423788105946,-0.47802197802197804,0.23076923076923075,False,2023-12-23,2026-08-01,1.0,False
china_hrc_monthly_mom3,monthly,10,28,27,-0.0873015873015873,-0.2621371495173352,0.7741129435282359,0.016483516483516484,-0.12087912087912088,False,2023-12-23,2026-08-01,1.0,False
usdinr_mom1,monthly,5,26,26,0.09982906083665284,0.029372706957123535,0.7376311844077961,0.13928927615703196,0.021978021978021976,True,2024-02-01,2026-08-01,1.0,False
usdinr_mom1,monthly,10,26,26,-0.1569230769230769,-0.29280859483825444,0.4912543728135932,-0.07142857142857142,-0.14835164835164835,True,2024-02-01,2026-08-01,1.0,False
turkey_sheet_mom1,monthly,5,26,26,0.37221488318820733,0.18023120249020894,0.07846076961519241,0.2562922681289388,0.5439560439560439,True,2024-02-01,2026-08-01,1.0,False
turkey_sheet_mom1,monthly,10,26,26,0.10905982905982906,0.02517678473031649,0.600199900049975,-0.11538461538461539,0.38461538461538464,False,2024-02-01,2026-08-01,1.0,False
bdi_mom1,monthly,5,26,26,-0.2704199582771111,-0.2736712115111334,0.15542228885557222,-0.05021316097627219,-0.5384615384615384,True,2024-02-01,2026-08-01,1.0,False
bdi_mom1,monthly,10,26,26,-0.05061559803529352,-0.07703476874947382,0.767616191904048,0.47592892341683096,-0.576923076923077,False,2024-02-01,2026-08-01,1.0,False
china_hrc_mom4,weekly,15,71,25,-0.12895849017583808,-0.2136673912594111,0.5647176411794103,-0.6121965661894886,0.3736263736263736,False,2023-12-23,2025-10-13,1.0,False
china_hrc_mom12,weekly,15,71,25,-0.17220205574378375,-0.23105364260954006,0.5812093953023488,-0.17440483571677293,-0.027472527472527472,True,2023-12-23,2025-10-13,1.0,False
china_hrc_monthly_mom1,monthly,15,27,25,-0.31562749922144945,-0.3097778187956493,0.08895552223888056,-0.5078816895453011,-0.23076923076923078,True,2023-12-23,2026-07-01,1.0,False
china_hrc_monthly_mom3,monthly,15,27,25,-0.3402618406240991,-0.38104258960698767,0.08595702148925537,-0.3222421754356393,-0.4505494505494505,True,2023-12-23,2026-07-01,1.0,False
usdinr_mom1,monthly,15,25,24,-0.2715405728145276,-0.2887882610535654,0.21039480259870064,0.09457107322567675,-0.44055944055944063,False,2024-02-01,2026-07-01,1.0,False
usdinr_mom3,monthly,5,24,24,-0.10283248805684916,-0.1215027221360506,0.688655672163918,0.13380613488875975,-0.2657342657342658,False,2024-09-18,2026-08-01,1.0,False
usdinr_mom3,monthly,10,24,24,-0.2895652173913043,-0.3727258678526553,0.30134932533733133,-0.2797202797202798,-0.14685314685314685,True,2024-09-18,2026-08-01,1.0,False
turkey_sheet_mom1,monthly,15,25,24,0.11053093829309296,-0.0318124410376386,0.7481259370314842,-0.23117373455165427,0.4825174825174825,False,2024-02-01,2026-07-01,1.0,False
turkey_sheet_mom3,monthly,5,24,24,0.36355765817645597,0.28229485369030993,0.16441779110444776,0.612691249227479,0.5804195804195805,True,2024-09-18,2026-08-01,1.0,False
turkey_sheet_mom3,monthly,10,24,24,-0.0034797741438893953,0.0034685178140394777,1.0,0.034965034965034975,0.2937062937062937,True,2024-09-18,2026-08-01,1.0,False
bdi_mom1,monthly,15,25,24,0.11536788206910376,0.049172790546033684,0.5147426286856571,0.2947368421052632,-0.08391608391608392,False,2024-02-01,2026-07-01,1.0,False
