horizon,model,phase_offset,n,mae_skill_zero,brier_skill_frequency,direction_accuracy
15,turkey,5,5,-0.0054917747288393375,-0.15232357933208496,0.4
15,turkey,6,4,-0.006920381305323388,-0.13559934913748162,0.25
15,turkey,7,3,0.0011972748837716408,0.025949515531431766,0.3333333333333333
15,turkey,8,4,-0.0052281219838058585,-0.0796305386252375,0.25
15,turkey,9,6,0.00024163270400818712,-0.026282650752090908,0.5
15,turkey,10,4,-0.0027687194784710226,-0.06469172614064689,0.5
15,turkey,11,3,-0.014319653774215114,-0.4556152578714605,0.0
15,turkey,12,5,-0.006355564442112761,-0.15181937809641421,0.2
15,turkey,13,4,-0.006486711383131727,-0.004984116999750654,0.5
15,turkey,14,5,-0.004346499347601524,-0.1202726463218392,0.4
15,combined,0,3,-0.0016563289515544866,0.010674571511898934,0.6666666666666666
15,combined,1,5,-0.004243561633597476,-0.011814930837988569,0.4
15,combined,2,6,0.003591885792957949,0.07074592016087006,0.8333333333333334
15,combined,3,3,-0.010212143787793147,-0.20549878343784778,0.0
15,combined,4,4,-0.00034871888189908287,0.00729641814896087,0.25
15,combined,5,5,-0.006172834262979616,-0.04844268303745569,0.4
15,combined,6,4,-0.007268707043318813,-0.128909616569863,0.75
15,combined,7,3,0.002836422452282397,0.03385719633216555,0.3333333333333333
15,combined,8,4,-0.005340605341163852,-0.06891016438788311,0.5
15,combined,9,6,-0.0007467841844216727,-0.1017419079765235,0.6666666666666666
15,combined,10,4,-0.0015727033044447003,-0.04171085469508928,0.5
15,combined,11,3,-0.008961546571047089,-0.27808654048900994,0.3333333333333333
15,combined,12,5,-0.0030031399199673403,0.11202985950265387,0.6
15,combined,13,4,-0.002507853770465425,0.12492971752100951,0.5
15,combined,14,5,-0.0034321126519778374,-0.1784794024451477,0.2
15,nonlinear,0,3,-0.002173221123315805,-0.005183282048329851,0.3333333333333333
15,nonlinear,1,5,-0.005303502384654841,-0.07064625994707852,0.4
15,nonlinear,2,6,0.0019529969601703896,0.034228323194126276,0.8333333333333334
15,nonlinear,3,3,-0.013055857491967388,-0.238859950660402,0.0
15,nonlinear,4,4,-0.0023138522686593603,0.04759031286945914,0.25
15,nonlinear,5,5,-0.0062178903587527985,-0.006613460034402774,0.4
15,nonlinear,6,4,-0.006217794621138702,-0.08945595445159882,0.75
15,nonlinear,7,3,0.006016933253350298,0.16066778695570733,0.6666666666666666
15,nonlinear,8,4,-0.00445606863232708,-0.06334393448458764,0.5
15,nonlinear,9,6,-0.0004675702036719999,-0.09450194201680928,0.6666666666666666
15,nonlinear,10,4,-0.0013230591363746595,-0.04293802774701583,0.5
15,nonlinear,11,3,-0.012213132326270543,-0.2150665430505031,0.3333333333333333
15,nonlinear,12,5,0.0016724605228621153,0.10128140402546848,0.6
15,nonlinear,13,4,-0.009024300750720839,0.028784709601552994,0.75
15,nonlinear,14,5,-0.00011548877098481111,-0.09884930248814305,0.2
30,baseline,0,2,0.0,0.0,1.0
30,baseline,1,3,0.0,0.0,0.0
30,baseline,2,4,0.0,0.0,1.0
30,baseline,3,1,0.0,0.0,1.0
30,baseline,4,1,0.0,0.0,0.0
30,baseline,5,2,0.0,0.0,0.5
30,baseline,6,1,0.0,0.0,0.0
30,baseline,7,2,0.0,0.0,1.0
30,baseline,8,1,0.0,0.0,0.0
30,baseline,9,3,0.0,0.0,0.6666666666666666
30,baseline,10,2,0.0,0.0,0.5
30,baseline,11,1,0.0,0.0,1.0
30,baseline,12,3,0.0,0.0,0.3333333333333333
30,baseline,13,1,0.0,0.0,0.0
30,baseline,14,3,0.0,0.0,0.6666666666666666
30,baseline,15,1,0.0,0.0,0.0
30,baseline,16,2,0.0,0.0,0.5
30,baseline,17,4,0.0,0.0,0.5
30,baseline,18,1,0.0,0.0,1.0
30,baseline,19,3,0.0,0.0,0.6666666666666666
30,baseline,20,1,0.0,0.0,0.0
30,baseline,21,3,0.0,0.0,0.6666666666666666
30,baseline,23,3,0.0,0.0,0.6666666666666666
30,baseline,24,3,0.0,0.0,0.3333333333333333
30,baseline,25,2,0.0,0.0,0.5
30,baseline,26,2,0.0,0.0,0.0
30,baseline,27,1,0.0,0.0,0.0
30,baseline,28,3,0.0,0.0,0.3333333333333333
30,baseline,29,1,0.0,0.0,1.0
30,internal,0,2,0.0032233683262898535,-0.07172526164901855,0.5
30,internal,1,3,-0.00018652140740799128,0.11578273071894085,0.6666666666666666
30,internal,2,4,0.0011498958382839472,0.029742909704430942,0.5
30,internal,3,1,0.004473436370097061,0.2529860727401091,1.0
30,internal,4,1,-0.021269442149884236,-0.6145168592579986,0.0
30,internal,5,2,-0.006175216639312052,-0.018276178601611903,0.5
30,internal,6,1,-0.011374577831788796,-0.13820020632613017,0.0
